YJ016	Gene
VV2963	VV1_RS06715
VV1997	VV1_RS11040
VV3180	VV1_RS04495
VV2127	VV1_RS10480
VV2483	VV1_RS09145
VV3240	VV1_RS04930
VV3155	VV1_RS05735
VV1275	FABG
VV0467	VV1_RS03265
VV0826	VV1_RS01745
VV1374	VV1_RS13760
VV0100	VV1_RS05440
VV0208	VV1_RS04245
VV2460	VV1_RS09260
VV1946	VV1_RS11295
VV2148	VV1_RS10395
VV0904	VV1_RS01395
VV2443	VV1_RS09345
VV1221	VV1_RS14535
VV0567	VV1_RS03035
VV2275	VV1_RS10220
VV0965	FLGG
VV2741	VV1_RS07880
VV0862	VV1_RS01585
VV2714	FOLP
VV1995	VV1_RS11045
VV1037	ZNUC
VV1088	VV1_RS00180
VV1298	VV1_RS14155
VV2267	VV1_RS10255
VV2683	PRFC
VV2678	VV1_RS08175
VV1007	ASNB
VV1406	VV1_RS13610
VV1663	VV1_RS12535
VV2349	VV1_RS09870
VV2845	VV1_RS07345
VV3242	VV1_RS04920
VV2425	TRUA
VV1146	VV1_RS14905
VV2638	VV1_RS08380
VV1968	VV1_RS11185
VV0687	ILES
VV2469	VV1_RS09215
VV2285	RUVA
VV1373	VV1_RS13770
VV3136	VV1_RS05820
VV0752	VV1_RS02160
VV1277	VV1_RS14245
VV0584	NUDF
VV2636	GALM
VV1163	VV1_RS14825
VV2673	VV1_RS08200
VV0480	VV1_RS03205
VV2943	VV1_RS06810
VV1279	VV1_RS14235
VV2455	VV1_RS09285
VV0609	MURE
VV1174	VV1_RS14770
VV1248	VV1_RS14385
VV3026	VV1_RS06385
VV3103	VV1_RS05975
VV2376	VV1_RS09745
VV3092	VV1_RS06025
VV2090	VV1_RS10605
VV2235	VV1_RS14085
VV0175	VV1_RS04395
VV1977	VV1_RS11140
VV2419	VV1_RS09455
VV2288	VV1_RS10155
VV0703	VV1_RS02400
VV0839	VV1_RS01685
VV1345	VV1_RS13890
VV1147	VV1_RS14900
VV2607	VV1_RS08520
VV2592	VV1_RS08595
VV0055	VV1_RS05225
VV0772	VV1_RS02060
VV1710	VV1_RS12310
VV3220	VV1_RS14085
VV2930	VV1_RS06875
VV1353	VV1_RS13860
VV2661	VV1_RS08270
VV0187	VV1_RS04340
VV0654	VV1_RS02630
VV1397	VV1_RS13655
VV1640	VV1_RS12630
VV3129	VV1_RS05855
VV0731	VV1_RS02250
VV0112	VV1_RS05495
VV0646	VV1_RS02670
VV0764	VV1_RS02100
VV0979	VV1_RS00985
VV2596	VV1_RS08580
VV2513	VV1_RS08990
VV1362	VV1_RS13815
VV1252	VV1_RS14365
VV1508	VV1_RS13125
VV1404	VV1_RS13620
VV1680	VV1_RS12450
VV1684	VV1_RS12430
VV0608	VV1_RS02840
VV3144	VV1_RS05780
VV0107	VV1_RS05470
VV0604	VV1_RS02860
VV2818	ENO
VV2894	VV1_RS07045
VV3257	VV1_RS04845
VV2044	VV1_RS10830
VV2089	VV1_RS10610
VV1437	VV1_RS13470
VV2672	VV1_RS08205
VV3189	VV1_RS04540
VV1426	VV1_RS13525
VV3143	VV1_RS05785
VV2635	VV1_RS08395
VV0114	VV1_RS05505
VV2708	VV1_RS08040
VV0638	VV1_RS02710
VV3051	VV1_RS06260
VV0499	VV1_RS03120
VV2043	VV1_RS10835
VV0589	VV1_RS02935
VV0073	VV1_RS05310
VV0730	VV1_RS02255
VV0932	VV1_RS01210
VV1491	VV1_RS13220
VV1606	VV1_RS12785
VV1347	VV1_RS13880
VV2079	VV1_RS10665
VV0448	VV1_RS03360
VV0605	VV1_RS02855
VV1254	VV1_RS14355
VV2881	VV1_RS07175
VV3124	VV1_RS05875
VV2283	VV1_RS10180
VV2534	VV1_RS08895
VV0294	VV1_RS03945
VV2433	VV1_RS09390
VV1176	VV1_RS14760
VV1366	VV1_RS13795
VV2033	VV1_RS10885
VV2531	VV1_RS08910
VV1634	VV1_RS12660
VV3098	VV1_RS06000
VV1499	VV1_RS13180
VV0252	VV1_RS04055
VV2529	VV1_RS08920
VV1095	VV1_RS00145
VV3229	VV1_RS04980
VV2598	VV1_RS08575
VV2539	VV1_RS08875
VV1539	VV1_RS12975
VV2552	VV1_RS08815
VV1987	VV1_RS11100
VV2516	PURN
VV2353	VV1_RS09850
VV1273	VV1_RS14265
VV0590	VV1_RS02930
VV1081	VV1_RS00210
VV2633	VV1_RS08400
VV2054	VV1_RS10785
VV0744	VV1_RS02190
VV0971	VV1_RS01020
VV0414	VV1_RS03500
VV0791	VV1_RS01985
VV1165	VV1_RS14815
VV2359	VV1_RS09830
VV3110	VV1_RS05945
VV2123	VV1_RS10500
VV2856	VV1_RS07295
VV1024	VV1_RS00775
VV0438	THIP
VV2276	VV1_RS10215
VV0693	VV1_RS02440
VV0378	VV1_RS03675
VV3215	VV1_RS05045
VV0199	GLNA
VV2533	VV1_RS08900
VV1703	VV1_RS12345
VV0977	VV1_RS00995
VV2051	VV1_RS10800
VV2071	VV1_RS10705
VV1090	VV1_RS00170
VV0779	VV1_RS02025
VV2850	VV1_RS07320
VV2278	VV1_RS10205
VV1691	VV1_RS12400
VV0177	UBIE
VV1091	VV1_RS00165
VV2007	VV1_RS11000
VV0740	VV1_RS02210
VV1988	VV1_RS11080
VV0030	VV1_RS04685
VV0439	VV1_RS03400
VV2508	VV1_RS09015
VV1974	VV1_RS11155
VV0185	VV1_RS04350
VV2417	VV1_RS09465
VV2535	VV1_RS08890
VV2343	VV1_RS09895
VV0721	VV1_RS02300
VV1981	VV1_RS11130
VV2120	VV1_RS10510
VV2338	VV1_RS09920
VV1355	VV1_RS13850
VV2053	VV1_RS10790
VV2149	VV1_RS10390
VV1317	VV1_RS14025
VV2357	VV1_RS09835
VV1182	VV1_RS14730
VV0580	VV1_RS02980
VV1528	VV1_RS13035
VV3004	VV1_RS06495
VV0642	VV1_RS02690
VV1457	VV1_RS13380
VV2025	VV1_RS10925
VV1971	VV1_RS11170
VV1711	VV1_RS12305
VV0297	VV1_RS03930
VV0958	VV1_RS01085
VV3113	VV1_RS05930
VV1559	NAPG
VV3043	VV1_RS06300
VV1627	VV1_RS12695
VV0031	VV1_RS04680
VV2024	VV1_RS10930
VV2337	VV1_RS09925
VV2140	VV1_RS10420
VV2504	VV1_RS09040
VV1291	VV1_RS14180
VV2697	VV1_RS08090
VV3050	VV1_RS06265
VV1530	VV1_RS13025
VV2471	VV1_RS09205
VV2797	VV1_RS07610
VV2706	TRUB
VV0918	UBIF
VV3216	VV1_RS05040
VV2828	VV1_RS07425
VV0248	VV1_RS04075
VV2465	VV1_RS09235
VV0083	CYAA
VV2669	VV1_RS08220
VV1715	VV1_RS12285
VV0832	VV1_RS01720
VV2391	VV1_RS09565
VV0565	VV1_RS03045
VV2066	VV1_RS10730
VV2386	VV1_RS09705
VV1667	VV1_RS12515
VV1169	VV1_RS14795
VV2289	VV1_RS10150
VV1188	VV1_RS14700
VV2837	VV1_RS07385
VV2468	VV1_RS09220
VV2629	VV1_RS08425
VV1496	VV1_RS13195
VV1432	VV1_RS13495
VV2532	VV1_RS08905
VV0454	VV1_RS03330
VV3062	VV1_RS06205
VV2317	VV1_RS14085
VV2493	VV1_RS09100
VV2735	VV1_RS07910
VV0046	VV1_RS05185
VV2589	VV1_RS08610
VV0486	VV1_RS03175
VV2623	VV1_RS08455
VV2977	VV1_RS06625
VV1123	VV1_RS15015
VV2647	VV1_RS08335
VV0833	VV1_RS01715
VV0124	VV1_RS05550
VV2362	VV1_RS09815
VV1671	VV1_RS12495
VV2905	VV1_RS06990
VV0739	VV1_RS02215
VV1721	VV1_RS12255
VV1035	VV1_RS00720
VV2558	VV1_RS08785
VV1306	VV1_RS14120
VV2028	VV1_RS10910
VV3108	VV1_RS05950
VV1356	VV1_RS13845
VV2626	GLPD
VV2398	VV1_RS09545
VV2134	VV1_RS10445
VV2622	VV1_RS08460
VV0789	VV1_RS01995
VV2628	VV1_RS08430
VV2980	VV1_RS06610
VV0562	DNAG
VV0412	VV1_RS03510
VV0882	VV1_RS01505
VV1714	VV1_RS12290
VV1628	VV1_RS12690
VV0623	VV1_RS02765
VV1074	VV1_RS00245
VV2979	VV1_RS06615
VV2859	GAPA
VV3191	UVRD
VV2112	VV1_RS14045
VV0583	TOLC
VV1621	VV1_RS12725
VV1263	VV1_RS14310
VV0071	VV1_RS05300
VV3203	VV1_RS04600
VV2298	MUKB
VV3040	VV1_RS06315
VV2767	VV1_RS07755
VV0686	VV1_RS02475
VV1510	VV1_RS13115
VV0663	VV1_RS02590
VV3091	VV1_RS06030
VV2926	VV1_RS06895
VV2549	VV1_RS08830
VV1070	VV1_RS00265
VV0028	FADA
VV3226	FMT
VV1941	VV1_RS11320
VV2366	VV1_RS09795
VV0237	ENVZ
VV2730	VV1_RS07930
VV1575	VV1_RS14085
VV3206	THIE
VV2758	VV1_RS07800
VV0065	VV1_RS05275
VV1266	VV1_RS14295
VV1198	MOAA
VV1104	VV1_RS00105
VV1316	VV1_RS14030
VV1012	VV1_RS00835
VV0056	VV1_RS05230
VV0962	VV1_RS01065
VV2350	VV1_RS09865
VV3122	VV1_RS05885
VV0283	VV1_RS03995
VV0706	VV1_RS02385
VV0999	VV1_RS00890
VV2912	VV1_RS06960
VV2067	VV1_RS10725
VV3074	VV1_RS06145
VV3038	VV1_RS06325
VV0624	VV1_RS02760
VV2616	VV1_RS08480
VV2685	VV1_RS08145
VV0662	VV1_RS02595
VV0472	OBGE
VV1962	VV1_RS11215
VV0449	VV1_RS03355
VV0007	VV1_RS04785
VV1219	VV1_RS14545
VV3199	VV1_RS04585
VV3262	GIDA
VV2382	CADB
VV1299	VV1_RS14150
VV0573	VV1_RS03005
VV3162	VV1_RS05705
VV1412	VV1_RS13585
VV0168	VV1_RS05585
VV1544	VV1_RS12950
VV2713	GLMM
VV2880	VV1_RS07180
VV3131	VV1_RS05845
VV0045	VV1_RS05180
VV3045	VV1_RS06290
VV0189	VV1_RS04330
VV2868	VV1_RS07235
VV0949	VV1_RS01130
VV0651	VV1_RS02645
VV1129	VV1_RS14980
VV0856	VV1_RS01615
VV2900	VV1_RS07015
VV1945	THRS
VV1729	VV1_RS12215
VV2130	VV1_RS10465
VV0483	VV1_RS03190
VV0421	VV1_RS03475
VV1629	VV1_RS12685
VV2874	VV1_RS07215
VV1421	VV1_RS13545
VV2886	VV1_RS07150
VV2954	VV1_RS06760
VV1197	VV1_RS14650
VV0478	VV1_RS03215
VV1357	VV1_RS13840
VV1108	VV1_RS00085
VV2485	VV1_RS09135
VV2131	VV1_RS10460
VV2988	VV1_RS06570
VV1624	VV1_RS12710
VV1052	VV1_RS00635
VV2026	VV1_RS10920
VV1477	VV1_RS13285
VV2920	VV1_RS06925
VV0070	VV1_RS05295
VV2107	VV1_RS10530
VV2811	VV1_RS07505
VV2345	PFLA
VV3081	VV1_RS06065
VV1215	VV1_RS14565
VV2577	VV1_RS08670
VV1077	VV1_RS00230
VV1303	VV1_RS14130
VV0097	RHTB
VV0768	VV1_RS02080
VV0668	VV1_RS02565
VV2808	VV1_RS07515
VV2738	VV1_RS07895
VV2406	VV1_RS09505
VV2512	VV1_RS08995
VV2117	VV1_RS14070
VV2125	VV1_RS10490
VV2478	FLII
VV0975	VV1_RS01005
VV1511	VV1_RS13110
VV2579	VV1_RS08660
VV0089	VV1_RS05385
VV2507	VV1_RS09025
VV1133	VV1_RS14965
VV1502	VV1_RS13165
VV1479	VV1_RS13275
VV2944	VV1_RS06805
VV0926	VV1_RS01235
VV0871	VV1_RS01540
VV1699	VV1_RS12365
VV3101	VV1_RS05985
VV0681	VV1_RS02500
VV1631	VV1_RS12675
VV0901	VV1_RS01410
VV2103	VV1_RS10550
VV1261	VV1_RS14320
VV2675	VV1_RS08190
VV0419	VV1_RS03480
VV2782	COAE
VV0970	VV1_RS01025
VV1475	VV1_RS13295
VV2429	VV1_RS09410
VV0765	VV1_RS02095
VV2339	VV1_RS09915
VV1369	VV1_RS13780
VV2907	VV1_RS06980
VV2761	VV1_RS07785
VV2336	VV1_RS09930
VV1375	VV1_RS13755
VV3237	VV1_RS04945
VV2492	VV1_RS09105
VV2692	VV1_RS08110
VV2467	VV1_RS09225
VV0643	VV1_RS02685
VV0578	VV1_RS02985
VV2491	VV1_RS09110
VV2291	VV1_RS10140
VV0898	GLYA
VV0184	VV1_RS04355
VV0574	VV1_RS03000
VV3181	RHO
VV0057	VV1_RS05235
VV2388	VV1_RS09695
VV1360	VV1_RS13825
VV2344	VV1_RS09890
VV2747	VV1_RS07850
VV3190	VV1_RS04545
VV3066	VV1_RS06185
VV0606	VV1_RS02850
VV0561	VV1_RS03065
VV0500	VV1_RS03115
VV0924	YCHF
VV0376	RPLD
VV1049	VV1_RS00650
VV2924	VV1_RS06905
VV1422	VV1_RS13540
VV1060	VV1_RS00595
VV0504	VV1_RS03095
VV1075	VV1_RS00240
VV1952	VV1_RS11265
VV0682	NHAR
VV3060	VV1_RS06215
VV3079	VV1_RS06075
VV0505	VV1_RS03090
VV0886	VV1_RS01485
VV1288	VV1_RS14195
VV1158	VV1_RS14845
VV2441	VV1_RS09355
VV0427	VV1_RS03455
VV1336	VV1_RS13935
VV2639	VV1_RS08375
VV2611	VV1_RS08505
VV2515	VV1_RS08980
VV1557	VV1_RS12885
VV2085	VV1_RS10630
VV0953	VV1_RS01110
VV0258	VV1_RS04025
VV2584	VV1_RS08635
VV1717	VV1_RS12275
VV0018	AVTA
VV2853	VV1_RS07310
VV1529	PRPB
VV3069	VV1_RS06170
VV1217	VV1_RS14555
VV0952	VV1_RS01115
VV1351	HISD
VV3236	VV1_RS04950
VV1332	VV1_RS13955
VV1207	VV1_RS14600
VV1601	VV1_RS12815
VV0868	VV1_RS01555
VV3170	VV1_RS05650
VV1359	VV1_RS13830
VV0586	VV1_RS02950
VV0127	VV1_RS05560
VV1023	VV1_RS00780
VV1400	CLS
VV0497	VV1_RS03130
VV0869	VV1_RS01550
VV0482	VV1_RS03195
VV3137	PRMA
VV2667	VV1_RS08240
VV1036	VV1_RS00715
VV0746	TGT
VV3025	VV1_RS06390
VV1407	VV1_RS13605
VV1253	VV1_RS14360
VV2867	VV1_RS07240
VV0029	FADB
VV1105	CLPX
VV1434	NHAA
