Gene	K12
pphA	pphA
ompR	ompR
mutS	mutS
opgG	mdoG
ydcU	ydcU
ycaM	ycaM
dacD	dacD
fruA	fruA
ugpA	ugpA
sad	yneI
uacT	ygfU
fliM	fliM
ydcV	ydcV
rhaD	rhaD
ycdX	ycdX
metK	metK
yrfG	yrfG
ispG	ispG
ygeA	ygeA
queC	queC
hcaB	hcaB
mlaC	yrbC
artP	artP
yajO	yajO
glnP	glnP
ydiF	ydiF
ybgJ	ybgJ
yihV	yihV
lacY	lacY
yhhS	yhhS
uhpT	uhpT
apaH	apaH
scpB	ygfG
glnS	glnS
yidZ	yidZ
yhbW	yhbW
proP	proP
yqgA	yqgA
smtA	smtA
pnp	pnp
mnmE	trmE
waaH	yibD
ravA	ravA
puuB	puuB
ais	ais
agp	agp
cydD	cydD
ubiE	ubiE
pntA	pntA
yejM	yejM
uhpC	uhpC
cbrA	cbrA
ftsQ	ftsQ
ybbP	ybbP
xylF	xylF
yehX	yehX
ydiB	ydiB
wecB	rffE
rseA	rseA
ldtC	ycfS
trpA	trpA
cyoA	cyoA
ycjM	ycjM
napG	napG
glnG	glnG
metN	metN
psuK	yeiC
asmA	asmA
ydjJ	ydjJ
kdsD	kdsD
fucO	fucO
der	der
pcnB	pcnB
lldP	lldP
aroH	aroH
astE	astE
pstC	pstC
yegV	yegV
nanM	yjhT
rdgC	rdgC
gltX	gltX
opgC	mdoC
cadB	cadB
ybiV	ybiV
leuE	yeaS
yahN	yahN
ilvY	ilvY
yrfF	igaA
carB	carB
iclR	iclR
tesA	tesA
sspA	sspA
pepA	pepA
aceA	aceA
znuB	znuB
aas	aas
mraY	mraY
lipA	lipA
dnaN	dnaN
yphC	yphC
rplD	rplD
ybeQ	ybeQ
cueO	cueO
nhoA	nhoA
galM	galM
rcnA	rncA
pgrR	ycjZ
pyrB	pyrB
ydhC	ydhC
sfsA	sfsA
ycaN	ycaN
ygeY	ygeY
yhhX	yhhX
xylH	xylH
frdB	frdB
livG	livG
tar	tar
rlmN	yfgB
hemY	hemY
rffG	rffG
rtcB	rtcB
purT	purT
glpG	glpG
paaE	paaJ
menA	menA
nuoG	nuoG
yihN	yihN
dmsA	dmsA
yeeN	yeeN
cydC	cydC
argP	argP
nhaA	nhaA
wecC	rffD
gloB	gloB
ugpB	ugpB
yieP	yieP
hdhA	hdhA
rluF	yjbC
purA	purA
bepA	yfgC
phoQ	phoQ
cyoB	cyoB
ydcJ	ydcJ
rpsD	rpsD
ypjD	ypjD
mrcA	mrcA
fusA	fusA
edd	edd
nrdD	nrdD
ygdQ	ygdQ
ycbL	ycbL
rarD	rarD
metC	metC
ydgA	ydgA
yegQ	yegQ
cynT	cynT
ldtD	ycbB
dnaA	dnaA
pykF	pykF
aqpZ	aqpZ
pstB	pstB
glxR	glxR
cyoE	cyoE
ulaE	ulaE
lptF	yjgP
yqjH	yqjH
astB	astB
eutA	eutA
gltS	gltS
cmtA	cmtA
yhdZ	aapP
yigL	yigL
fliG	fliG
xylA	xylA
cysU	cysU
gcd	gcd
adk	adk
bcsA	bcsA
ybaT	ybaT
ybiW	ybiW
amiC	amiC
nrdA	nrdA
eptA	eptA
ydiQ	ydiQ
yegH	yegH
yijF	yijF
flgH	flgH
rsmI	yraL
cdsA	cdsA
wcaJ	wcaJ
phoP	phoP
cstA	cstA
yadV	ecpD
dusB	dusB
garR	garR
ydeM	ydeM
glmS	glmS
modB	modB
clsB	ybhO
rbsK	rbsK
glgC	glgC
glxK	glxK
hyaA	hyaA
uvrD	uvrD
rlpA	rlpA
potE	potE
hslU	hslU
hflD	hflD
elfG	ycbT
yidX	yidX
wzyE	wzyE
bamD	yfiO
fimC	fimC
ytfE	ytfE
yadS	yadS
moeA	moeA
cycA	cycA
mepH	ydhO
yliE	yliE
uidA	uidA
corA	corA
malP	malP
btuD	btuD
metB	metB
nuoL	nuoL
mdtA	mdtA
fnr	fnr
dcuD	dcuD
alkB	alkB
hldE	rfaE
cysW	cysW
ybiC	ybiC
yiaK	yiaK
yieL	yieL
mrdA	mrdA
pflB	pflB
sucD	sucD
ansB	ansB
frlC	frlC
ybdO	ybdO
sdaA	sdaA
entE	entE
dapF	dapF
helD	helD
paoC	yagR
rsxG	rsxG
phoB	phoB
pepB	pepB
hisF	hisF
thiB	tbpA
ynfH	ynfH
amtB	amtB
yaiW	yaiW
ydgD	ydgD
rutD	rutD
yjjU	yjjU
dadX	dadX
xylB	xylB
endA	endA
tsx	tsx
pdxH	pdxH
abgB	abgB
lexA	lexA
nagC	nagC
lpxL	lpxL
acrF	acrF
rlmB	rlmB
gpmA	gpmA
dcuB	dcuB
atpG	atpG
eno	eno
rbsA	rbsA
dsbC	dsbC
ytfT	ytfT
ypfH	ypfH
eutE	eutE
xerD	xerD
rutR	rutR
yfiP	yfiP
yihT	yihT
yejE	yejE
aspA	aspA
nadD	nadD
thyA	thyA
ptsG	ptsG
dcp	dcp
pmbA	pmbA
secF	secF
yqhC	yqhC
talB	talB
caiD	caiD
selA	selA
yniA	yniA
tdcB	tdcB
yhiM	yhiM
flgL	flgL
yeeA	yeeA
thiF	thiF
yqeH	yqeH
hofM	yrfD
roxA	ycfD
aroG	aroG
mngR	mngR
hcaE	hcaE
rihC	rihC
arnD	yfbH
pgk	pgk
pyrE	pyrE
fucK	fucK
gntP	gntP
rnb	rnb
avtA	avtA
ynjE	ynjE
yqcE	yqcE
yggS	yggS
chbF	chbF
serB	serB
nfrB	nfrB
gntX	gntX
purB	purB
ydfU	ydfU
patA	ygjG
evgA	evgA
hisA	hisA
ypfJ	ypfJ
feaB	feaB
gpmM	gpmI
pheA	pheA
ilvD	ilvD
rhaA	rhaA
lipB	lipB
pka	yfiQ
yibQ	yibQ
ilvE	ilvE
yidC	yidC
tpiA	tpiA
dmlA	yeaU
yjaH	yjaH
yjfP	yjfP
cdh	cdh
mlaE	yrbE
bglJ	bglJ
adiY	adiY
menH	yfbB
yciV	yciV
ybeF	ybeF
deaD	deaD
xseA	xseA
yaiV	yaiV
ghxQ	ygfQ
gatZ	gatZ
yghR	yghR
insF1	insF
araA	araA
pepD	pepD
iaaA	iaaA
dam	dam
yghQ	ECIAI1_3132
ycjQ	ycjQ
rssA	rssA
flgG	flgG
dppA	dppA
ilvA	ilvA
rhtC	rhtC
ygjJ	ygjJ
yjdF	yjdF
prfA	prfA
allR	allR
yhhQ	yhhQ
fepG	fepG
ansP	ansP
dcuS	dcuS
ygcW	ygcW
yiiM	yiiM
yhgF	yhgF
ycbX	ycbX
acuI	yhdH
yeiG	frmC
pepE	pepE
ydjN	ydjN
cutC	cutC
abrB	abrB
hemX	hemX
truC	truC
tehA	tehA
rsmF	yebU
yjiY	yjiY
tdcE	tdcE
yhgA	yhgA
yeaE	yeaE
acrD	acrD
betA	betA
nupX	yeiJ
yhfS	yhfS
rlmF	ybiN
purK	purK
ghxP	yjcD
ybjE	ybjE
yccT	yccT
ftsZ	ftsZ
mlaA	vacJ
pykA	pykA
agaD	agaD
yqeC	yqeC
creB	creB
paaZ	maoC
yhhW	yhhW
oppC	oppC
ynfC	ynfC
chbR	chbR
rpoB	rpoB
sdhB	sdhB
yadH	yadH
paaK	paaK
ybhI	ybhI
sfmZ	fimZ
argE	argE
xylR	xylR
epd	epd
clpA	clpA
chaC	chaC
etk	yccC
dcuA	dcuA
fucP	fucP
speD	speD
yijO	yijO
msbA	msbA
yhjA	yhjA
cpxR	cpxR
fsr	fsr
cysN	cysN
ybhF	ybhF
ydiS	ydiS
ybjS	ybjS
yncD	yncD
miaB	miaB
mdlB	mdlB
ybhS	ybhS
yiiD	yiiD
hyaC	hyaC
ydeA	ydeA
mhpB	mhpB
wcaD	wcaD
ygjI	ygjI
oxyR	oxyR
potI	potI
tolQ	tolQ
ynfG	ynfG
eutD	eutI
yniC	yniC
psd	psd
lplT	ygeD
zapD	yacF
mppA	mppA
mnmC	trmC
argD	argD
yjjG	yjjG
mcbR	yncC
acnA	acnA
dadA	dadA
pflA	pflA
yijE	yijE
ydjG	ydjG
mlrA	mlrA
eptB	eptB
dusA	yjbN
yhjB	yhjB
aaeR	aaeR
ccmA	ccmA
ansA	ansA
ypdE	ypdE
eamA	eamA
trmI	yggH
csgG	csgG
yiaY	yiaY
tktA	tktA
ybeX	ybeX
murF	murF
tamA	ytfM
cysH	cysH
tatC	tatC
xanP	yicE
iadA	iadA
yejB	yejB
entC	entC
cmoA	yecO
yjfC	yjfC
gstA	gst
yigZ	yigZ
leuD	leuD
iscS	iscS
napA	napA
nupC	nupC
phnC	phnC
nikC	nikC
phnJ	phnJ
qorB	ytfG
narQ	narQ
yicI	yicI
tauA	tauA
glyA	glyA
narK	narK
pspA	pspA
cysA	cysA
yjiN	yjiN
cpxA	cpxA
cynX	cynX
tgt	tgt
gdhA	gdhA
bamC	nlpB
tauB	tauB
qseB	qseB
frwA	ptsA
gadA	gadA
yibF	yibF
ispD	ispD
rhaR	rhaR
yhbU	yhbU
lpxC	lpxC
ygjQ	ygjQ
yfdE	yfdE
rho	rho
gldA	gldA
yeiH	yeiH
frvB	frvB
yecE	yecE
yhjJ	yhjJ
yicJ	yicJ
panC	panC
trmH	trmH
yhjV	yhjV
ftsN	ftsN
mscK	kefA
yajR	yajR
rsmJ	yhiQ
gabT	gabT
dapA	dapA
gcvA	gcvA
yjfK	yjfK
pgm	pgm
ybjD	ybjD
malT	malT
hcaT	hcaT
rmuC	rmuC
tyrP	tyrP
fadI	yfcY
thiL	thiL
ftsY	ftsY
hslO	hslO
mrcB	mrcB
cobB	cobB
ydhQ	ydhQ
ecpE	yagV
yebE	yebE
rclA	ykgC
yejF	yejF
agaS	agaS
accD	accD
hldD	waaD
fdhD	fdhD
araD	araD
curA	yncB
ygfI	ygfI
fliH	fliH
ldcC	ldcC
mrdB	mrdB
ghrB	tiaE
rcsC	rcsC
ppc	ppc
dppC	dppC
suhB	suhB
ydhT	ydhT
fixA	fixA
ygdG	exo
uxuB	uxuB
obgE	obgE
mhpF	mhpF
yfaY	yfaY
ydfG	ydfG
rpsC	rpsC
aldB	aldB
lepA	lepA
feaR	feaR
tdcA	tdcA
phnF	phnF
ulaR	ulaR
rluB	rluB
ispE	ispE
yohF	yohF
nudC	nudC
ynfM	ynfM
frlR	frlR
yggF	yggF
serC	serC
mglA	mglA
yeeE	yeeE
dcyD	yedO
recC	recC
argA	argA
nhaB	nhaB
ribD	ribD
dppB	dppB
pnuC	pnuC
arnA	yfbG
glpD	glpD
ycjR	ycjR
cfa	cfa
znuC	znuC
yhbV	yhbV
aaeA	aaeA
yicR	yicR
pgpC	yfhB
hemH	hemH
macB	macB
yhiI	yhiI
yddG	yddG
yhjD	yhjD
hemN	hemN
rlmG	ygjO
sucA	sucA
yhbJ	yhbJ
hyfA	hyfA
tam	tam
tatD	tatD
mipA	mipA
uxuR	uxuR
yieH	yieH
ttdT	ygjE
degQ	degQ
yheO	yheO
leuS	leuS
lysP	lysP
tnaB	tnaB
hflK	hflK
cca	cca
ddpC	ddpC
yieE	yieE
yihS	yihS
guaA	guaA
eutQ	eutQ
ybjJ	ybjJ
yfiF	yfiF
ykgE	ykgE
malZ	malZ
ydjH	ydjH
yhdX	aapQ
waaA	kdtA
ygeH	ygeH
ydiN	ydiN
birA	birA
yagU	yagU
fadA	fadA
ydhY	ydhY
argO	argO
rpoC	rpoC
yrbG	yrbG
bax	bax
ppx	ppx
yafK	yafK
tdh	tdh
alaS	alaS
nadR	nadR
aroP	aroP
nnr	yjeF
ddpA	ddpA
ygbM	ygbM
fadB	fadB
nagA	nagA
recA	recA
yjbF	yjbF
malM	malM
puuD	puuD
yfdC	yfdC
mepM	yebA
malI	malI
fadL	fadL
iceT	mdtD
yedE	yedE
anmK	anmK
garK	garK
cydB	cydB
bglH	bglH
sstT	sstT
xylG	xylG
cysB	cysB
aceF	aceF
katE	katE
atpD	atpD
ygiC	ygiC
mdfA	cmr
gltK	gltK
plsB	plsB
hyfD	hyfD
hybO	hybO
pldB	pldB
uidC	uidC
gcvP	gcvP
yaiO	yaiO
gnd	gnd
msrA	msrA
ubiA	ubiA
ptrA	ptr
ybgK	ybgK
yhfT	yhfT
yeaN	yeaN
yciT	deoT
hcaR	hcaR
ulaD	ulaD
zinT	yodA
fdnH	fdnH
rcsA	rcsA
fpr	fpr
phoE	phoE
menF	menF
amyA	amyA
tsaB	yeaZ
mscM	yjeP
ftsE	ftsE
purH	purH
lpxM	lpxM
sucC	sucC
ycgB	ycgB
sbp	sbp
ydiV	ydiV
modF	modF
hypB	hypB
ybbA	ybbA
yegT	yegT
yhiD	yhiD
yphB	yphB
metA	metA
treR	treR
panF	panF
acrE	acrE
trkH	trkH
